粤文,第名,葡文,類-粵,類-葡,特殊,私家路,地區,位置1,位置2,加筆,,粵文,葡文,方程式（A1爲例）,數
成都街,,Rua de Seng Tou,街,Rua,,,氹仔,,,named for Chengdu,,,,,
文第士街 ,,Rua de Silva Mendes,街,Rua,,,澳門,,,,,,,,
肇慶街,,Rua de Siu Heng,街,Rua,,,,,,,,,,,
韶關街,,RUa de Siu Kuan,街,Rua,,,氹仔,,,named for Shaoguan,,,,,
大連街,,Rua de Tai Lin,街,Rua,,,氹仔,,,,,,,,
大埔街,,Rua de Tai Pou,街,Rua,,,,,,,,,,,
網球路,,Rua de Ténis,街,Rua,,,,,,,,,,,
天津街,,Rua de Tin Chon,街,Rua,,,,,,,,,,,
羅憲新街,,Rua de Tomás da Rosa,街,Rua,,,,,,,,,,,
慕拉士街,,Rua de Venceslau de Morais,街,Rua,,,,,,,,,,,
永誠街,,Rua de Viseu,街,Rua,,,氹仔,,,named for Viseu,,,,,
上海街,,Rua de Xangai,街,Rua,,,澳門,,,,,,,,
廈門街,,Rua de Xiamen,街,Rua,,,澳門,,,,,,,,
湛江街,,Rua de Zhanjiang,街,Rua,,,氹仔,,,named for Zhanjiang,,,,,
施督憲正街,,Rua Direita Carlos Eugénio,街,Rua,,,,,,,,,,,
中心街,,Rua Direita do Hipódromo,街,Rua,,,澳門,,,,,,,,
河邊新街 ,,Rua do Almirante Sérgio,街,Rua,,,澳門,,,,,,,,
桃李街,,Rua do Ameixas dos Pêssegos e Peras,街,Rua,,Y,澳大,,,,,,,,
收容所街 ,,Rua do Asilo,街,Rua,,,澳門,台山,,,,,,,
三層樓上街,,Rua do Barão,街,Rua,,,澳門,,,,,,,,
水手西街,,Rua do Bazarinho,街,Rua,,,澳門,,,,,,,,
燕主教街,,Rua do Bispo Enes,街,Rua,,,,,,,,,,,
美的路主教街,,Rua do Bispo Medeiros,街,Rua,,,澳門,,,,,,,,
蓬萊新街,,Rua do Bocage,街,Rua,,,,,,,,,,,
寶德街,,Rua do Botelho,街,Rua,,,,,,,,,,,
巴冷登街 ,,Rua do Brandão,街,Rua,,,澳門,,,,,,,,
計單奴街,,Rua do Caetano,街,Rua,,,,,,,,,,,
北安碼頭街,,Rua do Cais de Pac On,街,Rua,,,氹仔,,,,,,,,
水坑尾街,,Rua do Campo,街,Rua,,,澳門,水坑尾,,,,,,,
菜園涌街,,Rua do Canal das Hortas,街,Rua,,,,,,,,,,,
涌河新街,,Rua do Canal Novo,街,Rua,,,,,,,,,,,
𠜎雞街,,Rua do Capão,街,Rua,,,澳門,,,,,,,,
,,Rua do Caracol,街,Rua,,,澳門,,,,,,,,
燒灰爐街,,Rua do Chunambeiro,街,Rua,,,,,,,,,,,
學院路,,Rua do Colégio,街,Rua,,,,,,,,,,,
俾若翰街,筷子基北街,Rua do Comandante João Belo,街,Rua,,,澳門,,,,,,,,
馬統領街 ,,Rua do Comandante Mata e Oliveria,街,Rua,,,澳門,,,,,,,,
高可寧紳士街,,Rua do Comendador Kou Hó Neng,街,Rua,,,,,,,,,,,
青洲街,,Rua do Conselheiro Borja,街,Rua,,,澳門,青洲,,,,,,,
非利喇街,,Rua do Coronel Ferreira,街,Rua,,,澳門,,,,,,,,
美副將街,,Rua do Coronel Mesquita,街,Rua,,,,,,,,,,,
官也街,,Rua do Cunha,街,Rua,,,氹仔,,,named for Portuguese explorer Tristão da Cunha,,,,,
律政司街,,Rua do Delegado,街,Rua,,,,,,,,,,,
體育路,,Rua do Desporto,街,Rua,,,,,,,,,,,
比厘喇馬忌士街,,Rua do Dr. Lourenço Pereira Marques,街,Rua,,,澳門,,,,,,,,
比厘喇馬忌士街,,Rua do Dr. Lourenço Pereira Marques,街,Rua,,,,,,,,,,,
羅保博士街,,Rua do Dr. Pedro Jose Lobo,街,Rua,,,,,,,,,,,
蘇沙醫生街,,Rua do Dr. Ricardo de Sousa,街,Rua,,,,,,,,,,,
薈萃街,,Rua do Elite ,街,Rua,,Y,澳大,,,,,,,,
船鋪街,,Rua do Estaleiro,街,Rua,,,,,,,,,,,
聚賢街,,Rua do Estudioso Wei Juxian,街,Rua,,Y,澳大,,,,,,,,
夜呣街 ,,Rua do Gamboa,街,Rua,,,澳門,,,,,,,,
白朗古將軍街,,Rua do General Castelo Branco,街,Rua,,,澳門,,,,,,,,
嘉野度將軍街,將軍街,Rua do General Galhardo,街,Rua,,,,,,,,,,,
飛喇士街 ,筷子基南街,Rua do General Ivens Ferraz,街,Rua,,,,,,,,,,,
羅德禮將軍街,,Rua do General Rodrigues,街,Rua,,,,,,,,,,,
柯維納總督街,,Rua do Governador Albano de Oliveira,街,Rua,,,,,,,,,,,
海邊新街,,Rua do Guimarães,街,Rua,,,,,,,,,,,
皇子街,泗𠵼碼頭,Rua do Infante,街,Rua,,,,,,,,,,,
入便街,,Rua do Interior,街,Rua,,,,,,,,,,,
,,Rua do Jardim,街,Rua,,,氹仔,,,,,,,,
,,Rua do Jardim,街,Rua,,,路環,,,,,,,,
化驗所街,,Rua do Laboratório,街,Rua,,,澳門,青洲,,,,,,,
西灣湖街,,Rua do Lago Sai Van,街,Rua,,,,,,,,,,,
亞婆井街,,Rua do Lilau,街,Rua,,,澳門,,,,,,,,
中街,,Rua do Meio,街,Rua,,,氹仔,官也街,,,,,,,
中街,,Rua do Meio,街,Rua,,,路環,路環村,,,,,,,
市場街,,Rua do Mercado de Iao Hon,街,Rua,,,澳門,,,,,,,,
米尼奧街,,Rua do Minho,街,Rua,,,,,,,,,,,
西望洋眺望台街 ,,Rua do Miradouro de Santa Sancha,街,Rua,,,澳門,,,,,,,,
大炮台街,,Rua do Monte,街,Rua,,,澳門,,,,,,,,
區神父街,,Rua do Padre Eugénio Taverna,街,Rua,,,澳門,,,,,,,,
傅禮士神父街,,Rua do Padre Luís Fróis S.J.,街,Rua,,,澳門,,,,,,,,
木橋街 ,,Rua do Pagode,街,Rua,,,澳門,,,,,,,,
排角街,,Rua do Pai Kok,街,Rua,,,氹仔,,,,,,,,
公園街,,Rua do Parque,街,Rua,,,澳門,,,,,,,,
工業園街,,Rua do Parque Industrial,街,Rua,,,澳門,青洲,,,,,,,
通衢街,,Rua do Passadiço,街,Rua,,,澳門,,,,,,,,
通衢街,,Rua do Passadiço,街,Rua,,,,,,,,,,,
沙梨頭街,石牆街,Rua do Patane,街,Rua,,,澳門,,,,,,,,
鹹魚街,,Rua do Peixe Salgado,街,Rua,,,澳門,,,,,,,,
松柏街,,Rua do Pinheiro ,街,Rua,,Y,澳大,,,,,,,,
波爾圖街,,Rua do Porto,街,Rua,,,氹仔,,,named for Porto,,,,,
永添街,,Rua do Progresso,街,Rua,,,氹仔,,,,,,,,
永發街,,Rua do Progresso,街,Rua,,,澳門,,,,,,,,
望廈兵房街,,Rua do Quartel de Mong Há,街,Rua,,,澳門,,,,,,,,
地堡街,,Rua do Regedor,街,Rua,,,,,,,,,,,
,,Rua do Retiro,街,Rua,,,氹仔,,,,,,,,
三巴仔橫街,,Rua do Seminário,街,Rua,,,澳門,,,,,,,,
日頭街,,Rua do Sol,街,Rua,,,氹仔,官也街,,,,,,,
素啤古街,,Rua do Súpico,街,Rua,,,,,,,,,,,
塔石街,,Rua do Tap Siac,街,Rua,,,,,,,,,,,
沙欄仔街 ,,Rua do Tarrafeiro,街,Rua,,,澳門,,,,,,,,
戴紳禮街,,Rua do Tássara,街,Rua,,,,,,,,,,,
大碼頭街,,Rua do Teatro,街,Rua,,,澳門,,,,,,,,
蓮峰街,,Rua do Templo Lin-Fong,街,Rua,,,,,,,,,,,
海港街,,Rua do Terminal Marítimo,街,Rua,,,,,,,,,,,
聚寶街,夜呣前巷,Rua do Tesouro,街,Rua,,,,,,,,,,,
射擊路,,Rua do Tiro,街,Rua,,,,,,,,,,,
巴素打爾古街 ,,Rua do Visconde Paço de Arcos,街,Rua,,,澳門,,,,,,,,
巴素打爾古街,,Rua do Visconde Paço de Arcos,街,Rua,,,,,,,,,,,
和隆街,,Rua do Volong,街,Rua,,,澳門,塔石,,,,,,,
台山新城市第二街,,Rua Dois da Cidade Nova de T'oi Sán,街,Rua,,,澳門,,,,,,,,
台山新城市第二街,,Rua Dois da Cidade Nova de T'oi Sán,街,Rua,,,,,,,,,,,
業興二街,,Rua Dois de Heng Ip,街,Rua,,,,,,,,,,,
居雅二街,,Rua Dois de Koi Nga,街,Rua,,,,,,,,,,,
和樂坊二街,,Rua Dois do Bairro da Concórdia,街,Rua,,,澳門,,,,,,,,
祐漢新村第二街,,Rua Dois do Bairro Iao Hon,街,Rua,,,,,,,,,,,
華大新村第二街,,Rua Dois do Bairro Vá Tai,街,Rua,,,,,,,,,,,
竹灣豪園第二街,,Rua Dois dos Jardins de Cheoc Van,街,Rua,,,,,,,,,,,
海洋花園第二街,,Rua Dois dos Jardins do Oceano,街,Rua,,,,,,,,,,,
亞速爾街,,Rua dos Açores,街,Rua,,,氹仔,三家,,,,,,,
貨倉街,,Rua dos Armazéns,街,Rua,,,,下環,,,,,,,
炮兵街,,Rua dos Artilheiros,街,Rua,,,,,,,,,,,
連理街,,Rua dos Bem Casados,街,Rua,,,氹仔,官也街,,,,,,,
紅棉路,,Rua dos Bombaxes,街,Rua,,,,,,,,,,,
興華街,,Rua dos Cavaleiros,街,Rua,,,,,,,,,,,
木鐸街,,Rua dos Clérigos,街,Rua,,,氹仔,官也街,,,,,,,
工匠街,,Rua dos Colonos,街,Rua,,,澳門,,,,,,,,
天通街,,Rua dos Cules,街,Rua,,,澳門,,,,,,,,
牧場街,,Rua dos Currais,街,Rua,,,澳門,,,,,,,,
船廠街,,Rua dos Estaleiros,街,Rua,,,,,,,,,,,
桉樹街,,Rua dos Eucaliptos,街,Rua,,,,,,,,,,,
快艇頭街,米街,Rua dos Faitiões,街,Rua,,,澳門,,,,,,,,
菜園路,,Rua dos Hortelãos,街,Rua,,,,,,,,,,,
,,Rua dos Jamboleiros,街,Rua,,,路環,,,,,,,,
蒲桃街,,Rua dos Jamboleiros,街,Rua,,,,,,,,,,,
,,Rua dos Jogos da Ásia Oriental,街,Rua,,,氹仔,,,東亞運,,,,,
東亞運街,,Rua dos Jogos da Ásia Oriental,街,Rua,,,,,,,,,,,
營地大街,營地街／大街,Rua dos Mercadores,街,Rua,,,澳門,新馬路,,,,,,,
,,Rua dos Navegantes,街,Rua,,,路環,,,,,,,,
客商街,,Rua dos Negociantes,街,Rua,,,,,,,,,,,
漁翁街,,Rua dos Pescadores,街,Rua,,,,,,,,,,,
士林街,,Rua dos Saberes,街,Rua,,Y,澳大,,,,,,,,
龍柏路,,Rua dos Zimbros,街,Rua,,,,,,,,,,,
飛能便度街,,Rua Fernão Mendes Pinto,街,Rua,,,氹仔,,,named for Fernão Mendes Pinto,,,,,
美麗街,,Rua Formosa,街,Rua,,,澳門,,,,,,,,
飛南第街,,Rua Francisco H. Fernandes,街,Rua,,,,,,,,,,,
高甸玉街,,Rua Gago Coutinho,街,Rua,,,,,,,,,,,
千年利街,,Rua George Chinnery,街,Rua,,,澳門,,,,,,,,
巴波沙總督街,,Rua Governador Tamagnini Barbosa,街,Rua,,,,,,,,,,,
永華街,,Rua Graciosa,街,Rua,,,澳門,,,,,,,,
興隆街,,Rua Heng Long,街,Rua,,,氹仔,,,,,,,,
何連旺街 ,,Rua Ho Lin Vong,街,Rua,,,氹仔,,,,,,,,
山邊東街,,Rua Leste da Encosta,街,Rua,,,,,,,,,,,
青洲東街,,Rua Leste da Ilha Verde,街,Rua,,,澳門,台山,,,,,,,
科研東街,,Rua Leste de Investigação Científica,街,Rua,,Y,澳大,,,,,,,,
罅些喇提督市東街,,Rua Leste do Mercado Almirante Lacerda,街,Rua,,,,,,,,,,,
公局新市東街,,Rua Leste do Mercado de S. Domingos,街,Rua,,,澳門,,,,,,,,
聯生海濱路,,Rua Marginal da Concórdia,街,Rua,海濱路,,,,,,,,,,
菜園涌邊街,,Rua Marginal do Canal das Hortas,街,Rua,,,,,,,,,,,
林茂海邊街 ,,Rua Marginal do Lam Mau,街,Rua,,,澳門,,,,,,,,
叢慶北街,,Rua Norte,街,Rua,,,,,,,,,,,
科研北街,,Rua Norte de Investigação Científica ,街,Rua,,Y,澳大,,,,,,,,
菜園涌北街,,Rua Norte do Canal das Hortas,街,Rua,,,,,,,,,,,
公局新市北街,,Rua Norte do Mercado de S. Domingos,街,Rua,,,澳門,,,,,,,,
工業園北街,,Rua Norte do Parque Industrial,街,Rua,,,澳門,青洲,,,,,,,
沙梨頭北街,,Rua Norte do Patane,街,Rua,,,澳門,,,,,,,,
福德新街,,Rua Nova,街,Rua,,,,,,,,,,,
東望洋新街 ,,Rua Nova à Guia,街,Rua,,,澳門,,,,,,,,
黑沙環新街,,Rua Nova da Areia Preta,街,Rua,,,,,,,,,,,
青洲新街,,Rua Nova da Ilha Verde,街,Rua,,,澳門,台山,,,,,,,
台山新街,,Rua Nova de T'oi Sán,街,Rua,,,澳門,,,,,,,,
通商新街,新填地,Rua Nova do Comércio,街,Rua,,,澳門,,,,,,,,
工業園新街,,Rua Nova do Parque Industrial,街,Rua,,,澳門,青洲,,,,,,,
沙梨頭新街,,Rua Nova do Patane,街,Rua,,,澳門,,,,,,,,
,,Rua Oeste de Entre Lagos,街,Rua,,,澳門,,,,,,,,
科研西街,,Rua Oeste de Investigação Científica,街,Rua,,Y,澳大,,,,,,,,
公局新市西街,,Rua Oeste do Mercado de S. Domingos,街,Rua,,,澳門,,,,,,,,
公局新市西街,,Rua Oeste do Mercado de S. Domingos,街,Rua,,,,,,,,,,,
祐漢新村第八街,,Rua Oito do Bairro Iao Hon,街,Rua,,,,,,,,,,,
黑沙環第四街,,Rua Quatro do Bairro da Areia Preta,街,Rua,,,,,,,,,,,
祐漢新村第四街,,Rua Quatro do Bairro Iao Hon,街,Rua,,,,,,,,,,,
海洋花園第四街,,Rua Quatro dos Jardins do Oceano,街,Rua,,,,,,,,,,,
媽閣上街,,Rua S. Tiagoda Barra,街,Rua,,,,,,,,,,,
,,Rua São Tiago da Barra,街,Rua,,,澳門,,,,,,,,
黑沙環第六街,,Rua Seis do Bairro da Areia Preta,街,Rua,,,,,,,,,,,
祐漢新村第六街,,Rua Seis do Bairro Iao Hon,街,Rua,,,,,,,,,,,
海洋花園第六街,,Rua Seis dos Jardins do Oceano,街,Rua,,,,,,,,,,,
祐漢新村第七街,,Rua Sete do Bairro Iao Hon,街,Rua,,,,,,,,,,,
順景街,,Rua Son Keng,街,Rua,,,氹仔,,,,,,,,
叢慶南街,,Rua Sul,街,Rua,,,,,,,,,,,
湖畔南街,,Rua Sul de Entre Lagos,街,Rua,,,,,,,,,,,
鴨涌河南街,,Rua Sul do Canal dos Patos,街,Rua,,,,,,,,,,,
公局新市南街,,Rua Sul do Mercado de S. Domingos,街,Rua,,,澳門,,,,,,,,
工業園南街,,Rua Sul do Parque Industrial,街,Rua,,,澳門,青洲,,,,,,,
沙梨頭南街,,Rua Sul do Patane,街,Rua,,,澳門,,,,,,,,
台山新城市第三街,,Rua Três da Cidade Nova de T`oi Sán,街,Rua,,,,,,,,,,,
業興三街,,Rua Três de Heng Ip,街,Rua,,,,,,,,,,,
祐漢新村第三街,,Rua Três do Bairro Iao Hon,街,Rua,,,,,,,,,,,
華大新村第三街,,Rua Três do Bairro Vá Tai,街,Rua,,,,,,,,,,,
竹灣豪園第三街,,Rua Três dos Jardins de Cheoc Van,街,Rua,,,,,,,,,,,
海洋花園第三街,,Rua Três dos Jardins do Oceano,街,Rua,,,,,,,,,,,
台山新城市第一街,,Rua Um da Cidade Nova de T`oi Sán,街,Rua,,,,,,,,,,,
台山新城市第一街,,Rua Um da Cidade Nova de T'oi Sán,街,Rua,,,澳門,,,,,,,,
業興一街,,Rua Um de Ip Heng,街,Rua,,,,,,,,,,,
居雅一街,,Rua Um de Koi Nga,街,Rua,,,,,,,,,,,
和樂坊一街,,Rua Um do Bairro da Concórdia,街,Rua,,,澳門,,,,,,,,
祐漢新村第一街,,Rua Um do Bairro Iao Hon,街,Rua,,,,,,,,,,,
華大新村第一街,,Rua Um do Bairro Vá Tai,街,Rua,,,,,,,,,,,
竹灣豪園第一街,,Rua Um dos Jardins de Cheoc Van,街,Rua,,,,,,,,,,,
海洋花園第一街,,Rua Um dos Jardins do Oceano,街,Rua,,,,,,,,,,,
華大街,,Rua Vá Tai,街,Rua,,,,,,,,,,,
和睦街,,Rua Wo Mok,街,Rua,,,氹仔,,,,,,,,
馬忌士街,,Rua de Eduardo Marques,街,Rua,,,澳門,塔石,,,,,,,
瘋堂新街,,Rua Nova de S. Lázaro,街,Rua,,,澳門,塔石,,,,,,,
南灣中巷,,Travessa Central da Praia Grande,巷,Travessa,,,,,,,,,,,
短巷,,Travessa Curta,巷,Travessa,,,,,,,,,,,
友誼巷,,Travessa da Amizade,巷,Travessa,,,澳門,,,,,,,,
黑沙環巷,,Travessa da Areia Preta,巷,Travessa,,,,,,,,,,,
海灣巷,,Travessa da Baía,巷,Travessa,,,,,,,,,,,
媽閣巷,,Travessa da Barra,巷,Travessa,,,澳門,,,,,,,,
海棠巷,,Travessa da Begónia,巷,Travessa,,,澳門,青洲,,,,,,,
風景巷,,Travessa da Boa Vista,巷,Travessa,,,,,,,,,,,
港務局巷,,Travessa da Capitania dos Portos,巷,Travessa,,,,,,,,,,,
鵪鶉巷,,Travessa da Codorniz,巷,Travessa,,,,,,,,,,,
大纜巷,,Travessa da Corda,巷,Travessa,,,,,,,,,,,
打纜巷,,Travessa da Cordoaria,巷,Travessa,,,,,,,,,,,
托兒所巷,,Travessa da Creche,巷,Travessa,,,,,,,,,,,
酒潭巷,,Travessa da Dorna,巷,Travessa,,,,,,,,,,,
山邊巷,,Travessa da Encosta,巷,Travessa,,,澳門,,,,,,,,
魚鱗巷,,Travessa da Escama,巷,Travessa,,,,,,,,,,,
福隆彩巷,,Travessa da Esperança,巷,Travessa,,,氹仔,官也街,,,,,,,
草蓆巷,,Travessa da Esteira,巷,Travessa,,,,,,,,,,,
製造廠巷,,Travessa da Fábrica,巷,Travessa,,,,,,,,,,,
炮竹廠巷,,Travessa da Fábrica de Panchões,巷,Travessa,,,,,,,,,,,
福隆新巷,宜安街,Travessa da Felicidade,巷,Travessa,,,,,,,,,,,
蟻巷,,Travessa da Formiga,巷,Travessa,,,路環,路環村,,,,,,,
榮光巷,,Travessa da Glória,巷,Travessa,,,,,,,,,,,
魚鰓巷,,Travessa da Guelra,巷,Travessa,,,,,,,,,,,
教堂巷,,Travessa da Igreja,巷,Travessa,,,,,,,,,,,
青洲巷,,Travessa da Ilha Verde,巷,Travessa,,,澳門,青洲,,,,,,,
兔巷,,Travessa da Lebre,巷,Travessa,,,,,,,,,,,
缸瓦巷,,Travessa da Louça,巷,Travessa,,,,,,,,,,,
木蘭巷,,Travessa da Magnólia,巷,Travessa,,,澳門,青洲,,,,,,,
賣菜巷,,Travessa da Mosca,巷,Travessa,,,,,,,,,,,
戀愛巷,,Travessa da Paixão,巷,Travessa,,,澳門,大三巴,,,,,,,
沙梨頭口巷,,Travessa da Palanchica,巷,Travessa,,,澳門,,,,,,,,
玉盞巷,,Travessa da Palangana,巷,Travessa,,,,,,,,,,,
麻子巷,,Travessa da Palmeira,巷,Travessa,,,,,,,,,,,
水桶巷,,Travessa da Pipa,巷,Travessa,,,,,,,,,,,
橋巷,,Travessa da Ponte,巷,Travessa,,,,,,,,,,,
趙家巷,,Travessa da Porta,巷,Travessa,,,,,,,,,,,
三家村巷,,Travessa da Povoação de Sam Ka,巷,Travessa,,,,三家,,,,,,,
,,Travessa da Praia,巷,Travessa,,,澳門,,,,,,,,
如意巷,,Travessa da Prosperidade,巷,Travessa,,,,,,,,,,,
胡琴巷,,Travessa da Rebeca,巷,Travessa,,,,,,,,,,,
民國巷,,Travessa da República,巷,Travessa,,,,,,,,,,,
峽谷巷,,Travessa da Ribeira,巷,Travessa,,,,,,,,,,,
沙梨頭海邊巷,,Travessa da Ribeira do Patane,巷,Travessa,,,澳門,,,,,,,,
仁慕巷,,Travessa da Saudade,巷,Travessa,,,,,,,,,,,
大堂巷,,Travessa da Sé,巷,Travessa,,,澳門,,,,,,,,
氹仔巷,,Travessa da Taipa,巷,Travessa,,,,,,,,,,,
友聯巷,,Travessa da União,巷,Travessa,,,澳門,,,,,,,,
樂上巷,,Travessa da Viola,巷,Travessa,,,,,,,,,,,
雅景巷,,Travessa das Acácias,巷,Travessa,,,,,,,,,,,
仙女巷,,Travessa das Bruxas,巷,Travessa,,,氹仔,官也街,,,,,,,
大蘿巷,,Travessa das Canastras,巷,Travessa,,,氹仔,官也街,,,,,,,
天竹巷,,Travessa das Dálias,巷,Travessa,,,澳門,青洲,,,,,,,
船澳巷,,Travessa das Docas,巷,Travessa,,,,,,,,,,,
船澳巷,,Travessa das Docas,巷,Travessa,,,,,,,,,,,
水雞巷,,Travessa das Galinholas,巷,Travessa,,,,,,,,,,,
菜園巷,,Travessa das Hortas,巷,Travessa,,,,,,,,,,,
草堆橫巷,,Travessa das Janelas Verdes,巷,Travessa,,,,,,,,,,,
美女巷,,Travessa das Lindas,巷,Travessa,,,,,,,,,,,
石仔堆巷,,Travessa das Pedrinhas,巷,Travessa,,,,,,,,,,,
千日紅巷,,Travessa das Perpétuas,巷,Travessa,,,,,,,,,,,
翎毛巷,,Travessa das Plumas,巷,Travessa,,,,,,,,,,,
銅錢巷,,Travessa das Sapecas,巷,Travessa,,,,,,,,,,,
音調巷,,Travessa das Trinas,巷,Travessa,,,,,,,,,,,
福寧巷,福寧里／新圍,Travessa das Venturas,巷,Travessa,,,,,,,,,,,
哪咤廟巷,,Travessa das Verdades,巷,Travessa,,,,,,,,,,,
道德巷 ,深巷橫街,Travessa das Virtudes,巷,Travessa,,,澳門,,,,,,,,
巴波沙巷,,Travessa de Artur Tamagnini Barbosa,巷,Travessa,,,,,,,,,,,
俊秀巷,,Travessa de Chôn Sau,巷,Travessa,,,,,,,,,,,
十月初五日巷,,Travessa de Cinco de Outubro,巷,Travessa,,,,,,,,,,,
連勝巷,,Travessa de Coelho do Amaral,巷,Travessa,,,,,,,,,,,
連安後巷,,Travessa de Don Quixote,巷,Travessa,,,,,,,,,,,
筷子基巷,,Travessa de Fái Chi Kei,巷,Travessa,,,,,,,,,,,
俾利喇巷,,Travessa de Francisco Xavier Pereira,巷,Travessa,,,澳門,,,,,,,,
何老桂巷,,Travessa de Ho Lo Quai,巷,Travessa,,,,,,,,,,,
意那韶白的士打巷,鵝眉橫街,Travessa de Inacio Baptista,巷,Travessa,,,,,,,,,,,
林茂巷,,Travessa de Lam Mau,巷,Travessa,,,,,,,,,,,
林德遠巷,,Travessa de Lam Tac Un,巷,Travessa,,,,,,,,,,,
盧善德巷,福德街,Travessa de Maria Lucinda,巷,Travessa,,,,,,,,,,,
墨山巷,,Travessa de Martinho Montenegro,巷,Travessa,,,,,,,,,,,
高地烏巷,,Travessa de Pedro Coutinho,巷,Travessa,,,,,,,,,,,
板樟堂巷,,Travessa de S. Domingos,巷,Travessa,,,澳門,,,,,,,,
水榕樹巷,,Travessa de S. João,巷,Travessa,,,,,,,,,,,
大三巴巷 ,,Travessa de S. Paulo,巷,Travessa,,,澳門,大三巴,,,,,,,
耶都地巷,,Travessa de Santa Gertrudes,巷,Travessa,,,氹仔,,,,,,,,
新勝巷,,Travessa de Tomás Vieira,巷,Travessa,,,,,,,,,,,
慕拉士巷,,Travessa de Venceslau de Morais,巷,Travessa,,,澳門,,,,,,,,
慕拉士巷,,Travessa de Venceslau de Morais,巷,Travessa,,,,,,,,,,,
大樓斜巷,,Travessa do Abreu,巷,Travessa,,,澳門,,,,,,,,
大樓斜巷,,Travessa do Abreu,巷,Travessa,,,,,,,,,,,
賈伯樂提督巷,,Travessa do Almirante Costa Cabral,巷,Travessa,,,,,,,,,,,
河邊新巷,,Travessa do Almirante Sergio,巷,Travessa,,,,,,,,,,,
河邊新巷,,Travessa do Almirante Sérgio,巷,Travessa,,,澳門,,,,,,,,
賣魚巷,,Travessa do Alpendre,巷,Travessa,,,,,,,,,,,
爛鬼樓巷爛鬼樓新街爛鬼樓,,Travessa do Armazém Velho,巷,Travessa,,,,,,,,,,,
清平巷清平新街清平直街,,Travessa do Auto Novo,巷,Travessa,,,,,,,,,,,
鹹蝦巷,,Travessa do Balichão,巷,Travessa,,,,,,,,,,,
永安息巷,,Travessa do Bálsamo,巷,Travessa,,,,,,,,,,,
剪髮匠巷,,Travessa do Barbeiro,巷,Travessa,,,,,,,,,,,
山水園巷,山水園斜巷,Travessa do Bom Jesus,巷,Travessa,,,澳門,,,,,,,,
花王堂巷,,Travessa do Botelho,巷,Travessa,,,,,,,,,,,
蛤巷,,Travessa do Búzio,巷,Travessa,,,,,,,,,,,
計單奴巷,,Travessa do Caetano,巷,Travessa,,,,,,,,,,,
家冷巷,,Travessa do Calão,巷,Travessa,,,,,,,,,,,
菜園涌巷,,Travessa do Canal das Hortas,巷,Travessa,,,,,,,,,,,
𠜎雞巷,,Travessa do Capão,巷,Travessa,,,,,,,,,,,
嘉模巷,,Travessa do Carmo,巷,Travessa,,,,,,,,,,,
遊艇會巷,,Travessa do Clube de Iates,巷,Travessa,,,,,,,,,,,
連興巷,,Travessa do Colar,巷,Travessa,,,,,,,,,,,
扣鈕巷,,Travessa do Colchete,巷,Travessa,,,,,,,,,,,
公侯巷,,Travessa do Conde,巷,Travessa,,,,,,,,,,,
青洲新巷,,Travessa do Conselheiro Borja,巷,Travessa,,,澳門,青洲,,,,,,,
造繩巷,,Travessa do Cordoeiro,巷,Travessa,,,,,,,,,,,
美副將巷,,Travessa do Coronel Mesquita,巷,Travessa,,,,,,,,,,,
菊花巷,,Travessa do Crisântemo,巷,Travessa,,,,,,,,,,,
馬揸度博士巷,,Travessa do Dr. Francisco Vieira Machado,巷,Travessa,,,,,,,,,,,
馬博士巷,,Travessa do Dr. Lourenço Pereira Marques,巷,Travessa,,,,,,,,,,,
罣累巷,,Travessa do Enleio,巷,Travessa,,,,,,,,,,,
船鋪巷,,Travessa do Estaleiro,巷,Travessa,,,,,,,,,,,
山雞巷,,Travessa do Faisão,巷,Travessa,,,澳門,,,,,,,,
爐巷,,Travessa do Fogão,巷,Travessa,,,,,,,,,,,
金龍巷,,Travessa do Fogo,巷,Travessa,,,,,,,,,,,
風爐匠巷,,Travessa do Fogueiro,巷,Travessa,,,,,,,,,,,
草蜢巷,,Travessa do Gafanhoto,巷,Travessa,,,,,,,,,,,
夜呣巷,,Travessa do Gamboa,巷,Travessa,,,,,,,,,,,
叉巷,,Travessa do Garfo,巷,Travessa,,,澳門,,,,,,,,
生雪巷,,Travessa do Gelo,巷,Travessa,,,,,,,,,,,
飛喇士巷,,Travessa do General Ivens Ferraz,巷,Travessa,,,,,,,,,,,
花園巷,,Travessa do Jardim,巷,Travessa,,,,,,,,,,,
化驗所巷,,Travessa do Laboratório,巷,Travessa,,,澳門,青洲,,,,,,,
塘巷,,Travessa do Lago,巷,Travessa,,,,,,,,,,,
李道巷,,Travessa do Lido,巷,Travessa,,,澳門,,,,,,,,
李道巷,,Travessa do Lido,巷,Travessa,,,,,,,,,,,
桔仔巷,,Travessa do Matapau,巷,Travessa,,,,,,,,,,,
太和巷,,Travessa do Mata-Tigre,巷,Travessa,,,,,,,,,,,
大廟腳巷,,Travessa do Meio,巷,Travessa,,,澳門,,,,,,,,
中巷,,Travessa do Meio,巷,Travessa,,,,,,,,,,,
公局市場巷 ,公局市橫巷／公局市橫街,Travessa do Mercado Municipal,巷,Travessa,,,澳門,,,,,,,,
十字巷,,Travessa do Muro,巷,Travessa,,,澳門,,,,,,,,
水仙巷,,Travessa do Narciso,巷,Travessa,,,澳門,青洲,,,,,,,
